domain,x_metric,n,pearson_r,r_95ci_low,r_95ci_high,spearman_rho,kendall_tau_b,distance_corr,isotonic_R2,theilsen_slope,q25q75_delta_mean,q25q75_cohens_d,Q,df,I2,Q_pvalue,neg_slope_domains,K_domains,sign_test_p(one-sided)
CarbonCast,Season,144,-0.13840793915910748,-0.2952982515841687,0.025750994592735416,-0.2752414592576399,-0.20467348810975014,0.11707451945077568,0.31565139417681376,-0.46183163190283705,-0.19937138888888906,-1.2926451769014167,,,,,,,
PEMS,Season,144,-0.8058317739146394,-0.8565074461393749,-0.7397681487280732,-0.7773831761753432,-0.5968146345722094,0.6863071438020228,0.8602272252238535,-2.009946923138316,-0.42223111111111117,-6.984040555267055,,,,,,,
Fitbit,Season,144,0.5809564256020239,0.46120945830915216,0.6799192913375088,0.4876325907203804,0.35531578625536875,0.5584414066105114,0.5041567075597861,1.267242132322316,0.41126166666666664,1.766724484856254,,,,,,,
Synthetic,Season,126,-0.31095129735076515,-0.4607966252757072,-0.14386906084919593,-0.3848031999826954,-0.28688765527462345,0.16939056994620058,0.30018008708699695,-1.217314059597836,-0.1905583333333335,-1.6855306286562532,,,,,,,
META_Pearson_weighted,Season,558,-0.22120213609437514,-0.2993436122278384,-0.14011318377031431,,,,,,,,225.2873325123004,3.0,0.986683672062049,1.4444444135859635e-48,,,
META_Pearson_macro,Season,4,-0.22413463391624094,-0.8360747012645346,0.6363267850516746,,,,,,,,1.5989376179211745,3.0,0.0,0.6596307317199499,,,
META_Spearman_weighted,Season,558,,,,-0.28669584628892864,,,,,,,176.17484506840236,3.0,0.9829714622491355,5.908468969612308e-38,,,
META_Spearman_macro,Season,4,,,,-0.2899358136913509,,,,,,,1.2509820930803777,3.0,0.0,0.7408044322913097,,,
MEANS/OTHER,Season,4,,,,,-0.18326499792530357,0.38280340995237766,0.4950538535118626,-0.8395728457503365,-0.10022479166666678,-2.048872968992118,,,,,3.0,4.0,0.3125
