domain,x_metric,n,pearson_r,r_95ci_low,r_95ci_high,spearman_rho,kendall_tau_b,distance_corr,isotonic_R2,theilsen_slope,q25q75_delta_mean,q25q75_cohens_d,Q,df,I2,Q_pvalue,neg_slope_domains,K_domains,sign_test_p(one-sided)
CarbonCast,LLE,129,-0.5847679192129333,-0.688072173868153,-0.4582314320131808,-0.6357570037832357,-0.46461232195970187,0.31758888288761317,0.5189840641881198,-2.334623234258782,-0.30642426136363643,-2.5251510235897157,,,,,,,
PEMS,LLE,54,-0.8512464117564542,-0.91129524777233,-0.7557423771912561,-0.5791703029686135,-0.4002110258258099,0.8320090633717768,0.7973132028315633,-2.1231023102310225,-0.09051388888888884,-3.308775577175438,,,,,,,
Fitbit,LLE,54,0.5992650785835617,0.3948642671729452,0.7471399006263685,0.6344679700862198,0.5053512105766583,0.37966278644366297,0.409454340727026,15.46290389840146,0.13568111111111103,2.0574470974943417,,,,,,,
Synthetic,LLE,126,-0.6912843307266262,-0.7727568952237786,-0.5874002132492514,-0.7643694978958786,-0.5721359525191062,0.5715356758943961,0.6580658704336282,-2.7351605578981504,-0.2378138888888891,-2.905138728281383,,,,,,,
META_Pearson_weighted,LLE,363,-0.5518452399208551,-0.6203942768904948,-0.47492878436924413,,,,,,,,115.56188988662919,3.0,0.9740398845766272,6.9680672946947685e-25,,,
META_Pearson_macro,LLE,4,-0.4793867960991776,-0.9055395802362851,0.4282847135199137,,,,,,,,2.149078812871707,3.0,0.0,0.5420477684531677,,,
META_Spearman_weighted,LLE,363,,,,-0.5438573216522263,,,,,,,116.16180934289851,3.0,0.9741739559931932,5.175435775371376e-25,,,
META_Spearman_macro,LLE,4,,,,-0.39482554619886223,,,,,,,1.878114009872382,3.0,0.0,0.5980857135555251,,,
MEANS/OTHER,LLE,4,,,,,-0.23290202243198993,0.5251991021493623,0.5959543695450844,-2.228862772244902,-0.12476773200757584,-1.6704045578880486,,,,,3.0,4.0,0.3125
