domain,pair_key,other_smape,dlinear_smape,delta_smape,n_other,n_dlinear
CarbonCast,ciso__solar,0.7426473333333333,0.19803,0.5446173333333333,15,3
CarbonCast,pjm__nat_gas,0.8959293333333332,0.8263566666666667,0.0695726666666665,15,3
CarbonCast,pjm__oil,1.0166760000000001,0.9443833333333332,0.0722926666666669,15,3
Fitbit,hr__high,0.7659913333333335,0.6673533333333334,0.09863800000000011,15,3
Fitbit,hr__low,0.6711873333333334,0.5100133333333333,0.16117400000000004,15,3
Fitbit,hr__medium,0.6248953333333332,0.5587466666666666,0.06614866666666663,15,3
PEMS,high,0.5225873333333333,0.5233233333333333,-0.0007359999999999589,15,3
PEMS,low,0.4158193333333333,0.3934066666666666,0.022412666666666692,15,3
PEMS,medium,0.4464906666666667,0.36072333333333334,0.08576733333333336,15,3
UniSynth,h200,1.161964,1.0830166666666667,0.07894733333333326,15,3
UniSynth,h300,1.1992186666666667,1.0713033333333335,0.12791533333333316,15,3
UniSynth,h400,1.1148926666666668,0.9868333333333332,0.12805933333333352,15,3
UniSynth,h500,0.9922980000000001,0.8055,0.18679800000000013,15,3
UniSynth,h600,0.9075853333333334,0.6090066666666667,0.29857866666666666,15,3
UniSynth,h700,1.08312,0.7794599999999999,0.30366000000000015,15,3
UniSynth,h800,0.8642059999999999,0.6869066666666667,0.17729933333333325,15,3
