domain,metric_bin,omega,rel_gain_pct,nA,nB
CarbonCast,3.083,3.08273,1.3201501586807014,3,9
CarbonCast,3.973,3.97321,-39.84512866094379,3,9
CarbonCast,5.046,5.0465,6.648600352957669,3,9
