domain,metric_bin,omega,rel_gain_pct,nA,nB
UniSynth,0.316,0.31631,0.8164090396680621,3,9
UniSynth,0.412,0.41202,0.5155195681511533,3,9
UniSynth,0.463,0.4626,2.0494765619790702,3,9
UniSynth,0.527,0.52654,-5.0493496660447335,3,9
UniSynth,0.684,0.68438,-14.427549960558967,3,9
UniSynth,0.722,0.72218,11.178369222119022,3,9
UniSynth,0.728,0.72834,0.7018161202666462,3,9
