domain,metric_bin,omega,rel_gain_pct,ci_low,ci_high,nA,nB
PEMS,0.388,0.3880100000000001,-2.6461568899000945,,,1,1
PEMS,0.463,0.46345000000000003,-8.438376614777097,,,1,1
PEMS,0.548,0.54759,-1.4863102998696125,,,1,1
