domain,x_metric,n,pearson_r,r_95ci_low,r_95ci_high,spearman_rho,kendall_tau_b,distance_corr,isotonic_R2,theilsen_slope,q25q75_delta_mean,q25q75_cohens_d,Q,df,I2,Q_pvalue,neg_slope_domains,K_domains,sign_test_p(one-sided)
CarbonCast,SE,129,0.642814685347751,0.5287066644984146,0.7341006909575799,0.7623859965457092,0.5864439974958015,0.43560757320411164,0.5897799509985328,0.8292444320798835,0.3217218181818182,2.44782237696891,,,,,,,
PEMS,SE,54,0.8396863418306846,0.7378115619819398,0.9041601556144186,0.8352858138291058,0.6986734857637021,0.80082391782333,0.821228370867231,0.6872838787063863,0.11062611111111098,13.409965529198514,,,,,,,
Fitbit,SE,54,0.6327785522971723,0.439480569448615,0.7700646395764529,0.6344679700862198,0.5053512105766583,0.4181801000233854,0.409454340727026,1.0589201997319515,0.13568111111111103,2.0574470974943417,,,,,,,
Synthetic,SE,126,0.6901009641752313,0.5859161336908202,0.771843699036496,0.6795971456456505,0.5191300428778901,0.5251621639295952,0.5714373032893978,0.7008043638255095,0.22976972222222214,2.237228310194151,,,,,,,
META_Pearson_weighted,SE,363,0.694592490702929,0.6364359040626429,0.7448964315427936,,,,,,,,8.476215613383333,3.0,0.6460684653581468,0.03712979456806394,,,
META_Pearson_macro,SE,4,0.7135172356603694,-0.08546050968230755,0.9539818657151966,,,,,,,,0.14751480626821448,3.0,0.0,0.9855810397100989,,,
META_Spearman_weighted,SE,363,,,,0.7323987122551793,,,,,,,7.457136412209889,3.0,0.5977008017329586,0.05867008976496896,,,
META_Spearman_macro,SE,4,,,,0.7380219532892136,,,,,,,0.12309960479769522,3.0,0.0,0.988928107459041,,,
MEANS/OTHER,SE,4,,,,,0.5773996841785131,0.5449434387451055,0.5979749914705468,0.7650243979526965,0.1994496906565656,5.0381158284639795,,,,,0.0,4.0,1.0
