domain,model,n,theilsen_slope,spearman_rho,pearson_r
CarbonCast,DLinear,9,-2.064982841455045,-0.9526610232449336,-0.9804354930024443
Fitbit,DLinear,9,-0.8304331728989265,-0.6324555320336759,-0.9019551905536859
PEMS,DLinear,9,-0.19883444040606615,-0.4763305116224668,-0.42992370149181014
Synthetic,DLinear,21,-1.105945253406263,-0.9554792675918058,-0.9284040760743155
CarbonCast,GPT2,9,-1.3949210706932054,-0.7905694150420948,-0.8788447738104246
Fitbit,GPT2,9,-0.9152165864494638,-0.7378647873726218,-0.7106430731649941
PEMS,GPT2,9,0.029577641308434655,0.4743416490252569,0.10918393143802312
Synthetic,GPT2,21,-1.2540301779726593,-0.8493149045260496,-0.8089278214379145
CarbonCast,Language Pretrained,9,-1.1215374056280027,-0.6324555320336759,-0.7751357370546489
Fitbit,Language Pretrained,9,-1.354091077378749,-0.9486832980505138,-0.9600645834078191
PEMS,Language Pretrained,9,0.054142123073066685,0.3689323936863109,0.1396131612746718
Synthetic,Language Pretrained,21,-1.2178776455515312,-0.8689749717604489,-0.8321214123229337
CarbonCast,Random Init,27,-2.1513795470144133,-0.6231470973846959,-0.8316103325074651
Fitbit,Random Init,27,-0.9657007687758751,-0.920161134455906,-0.9542391820486105
PEMS,Random Init,27,0.03615741320967538,0.4484329579310428,0.1294937025165929
Synthetic,Random Init,63,-1.2134920048291322,-0.8484583083378298,-0.7913016072284074
