domain,pair,n,theilsen_slope,spearman_rho,pearson_r
CarbonCast,Language Pretrained→GPT2,3,69.99221067687421,0.9999999999999998,0.9355272741014636
Fitbit,Language Pretrained→GPT2,3,-88.34398397671765,-0.4999999999999999,-0.8679131597454912
PEMS,Language Pretrained→GPT2,3,7.268120002697594,0.4999999999999999,0.18670945702736233
Synthetic,Language Pretrained→GPT2,7,2.7593774181955717,0.2857142857142857,0.14876477920206377
