domain,metric_bin,omega,rel_gain_pct,nA,nB
PEMS,0.039,0.03864,0.6209725404803191,3,3
PEMS,0.047,0.04707999999999999,11.955359798098323,3,3
PEMS,0.067,0.06705,6.34086425726729,3,3
PEMS,0.069,0.06908,6.398960232259816,3,3
PEMS,0.076,0.07551,5.478804770027939,3,3
PEMS,0.077,0.07716,17.598666580916223,3,3
PEMS,0.084,0.08409,13.349454315432109,3,3
PEMS,0.149,0.14939,23.531299764217895,3,3
