domain,metric_bin,omega,rel_gain_pct,nA,nB
Fitbit,0.012,0.01249,-0.22895996669673,3,9
Fitbit,0.021,0.0207,-1.8624735731366389,3,9
Fitbit,0.026,0.02597,-2.0479948611484637,6,18
Fitbit,0.027,0.02699,5.768121604524812,3,9
Fitbit,0.03,0.03001,4.16968611904456,3,9
Fitbit,0.033,0.03276,-20.82302263770507,3,9
Fitbit,0.064,0.06394,6.012291753761291,3,9
