domain,metric_bin,omega,rel_gain_pct,nA,nB
CarbonCast,0.304,0.30375,-709.3408235223809,3,3
CarbonCast,0.464,0.46377,-40.64827941745068,3,3
CarbonCast,0.664,0.66366,-5.861475541762441,3,3
