domain,metric_bin,omega,rel_gain_pct,nA,nB
PEMS,0.452,0.45243999999999995,0.17190593461779938,3,9
PEMS,0.537,0.53666,-4.975459802635005,3,9
PEMS,0.612,0.61165,-0.4599861509546102,3,9
