domain,metric_bin,omega,rel_gain_pct,nA,nB
CarbonCast,0.311,0.31068,-39.84512866094379,3,9
CarbonCast,0.491,0.4908,1.3201501586807014,3,9
CarbonCast,0.569,0.56857,6.648600352957669,3,9
