file,path,model,dataset,seed,epochs_tag,f_tag,t_tag,c_tag,seq_len,pred_len,mae_loss,mae,mse,mape,mspe,rmse,train_loss,vali_loss,test_loss,actual_epochs
DLinear_ETTh1_e10_f1_t100_c100_seq512_pred336_seed3.txt,results/ETTh1/DLinear_ETTh1_e10_f1_t100_c100_seq512_pred336_seed3.txt,DLinear,ETTh1,3,10,1,100,100,512,336,0.43801,0.44366,0.44018,8.68094,29458.85058,0.66346,0.4181,1.07985,0.43551,7.0
DLinear_ETTh1_e10_f1_t100_c100_seq512_pred336_seed9.txt,results/ETTh1/DLinear_ETTh1_e10_f1_t100_c100_seq512_pred336_seed9.txt,DLinear,ETTh1,9,10,1,100,100,512,336,0.43796,0.46137,0.45792,8.74286,28977.54602,0.6767,0.41797,1.08026,0.43565,7.0
DLinear_ETTh1_e10_f1_t100_c100_seq512_pred192_seed7.txt,results/ETTh1/DLinear_ETTh1_e10_f1_t100_c100_seq512_pred192_seed7.txt,DLinear,ETTh1,7,10,1,100,100,512,192,0.42169,0.43598,0.42122,8.76085,30852.57339,0.64901,0.38031,0.86002,0.40839,4.0
DLinear_ETTh1_e10_f1_t100_c100_seq512_pred192_seed8.txt,results/ETTh1/DLinear_ETTh1_e10_f1_t100_c100_seq512_pred192_seed8.txt,DLinear,ETTh1,8,10,1,100,100,512,192,0.41514,0.42101,0.40743,8.55703,30331.78351,0.6383,0.37418,0.87289,0.40373,7.0
DLinear_ETTh1_e10_f1_t100_c100_seq512_pred96_seed4.txt,results/ETTh1/DLinear_ETTh1_e10_f1_t100_c100_seq512_pred96_seed4.txt,DLinear,ETTh1,4,10,1,100,100,512,96,0.39179,0.39603,0.37094,8.55866,33400.30193,0.60905,0.32641,0.64967,0.36785,10.0
DLinear_ETTh1_e10_f1_t100_c100_seq512_pred192_seed1.txt,results/ETTh1/DLinear_ETTh1_e10_f1_t100_c100_seq512_pred192_seed1.txt,DLinear,ETTh1,1,10,1,100,100,512,192,0.41556,0.41971,0.40771,8.56206,30647.11721,0.63852,0.37369,0.87328,0.4041,8.0
DLinear_ETTh1_e10_f1_t100_c100_seq512_pred192_seed5.txt,results/ETTh1/DLinear_ETTh1_e10_f1_t100_c100_seq512_pred192_seed5.txt,DLinear,ETTh1,5,10,1,100,100,512,192,0.41525,0.4152,0.4036,8.49254,30551.08345,0.6353,0.3733,0.87096,0.4037,
DLinear_ETTh1_e10_f1_t100_c100_seq512_pred96_seed1.txt,results/ETTh1/DLinear_ETTh1_e10_f1_t100_c100_seq512_pred96_seed1.txt,DLinear,ETTh1,1,10,1,100,100,512,96,0.39278,0.39395,0.36917,8.87114,35465.80597,0.60759,0.32683,0.64729,0.36872,8.0
DLinear_ETTh1_e10_f1_t100_c100_seq512_pred96_seed2.txt,results/ETTh1/DLinear_ETTh1_e10_f1_t100_c100_seq512_pred96_seed2.txt,DLinear,ETTh1,2,10,1,100,100,512,96,0.39194,0.39619,0.37188,8.6442,34213.27552,0.60982,0.32728,0.65194,0.36808,7.0
DLinear_ETTh1_e10_f1_t100_c100_seq512_pred192_seed2.txt,results/ETTh1/DLinear_ETTh1_e10_f1_t100_c100_seq512_pred192_seed2.txt,DLinear,ETTh1,2,10,1,100,100,512,192,0.41428,0.41842,0.40621,8.46178,30203.12791,0.63735,0.3733,0.87388,0.40293,10.0
DLinear_ETTh1_e10_f1_t100_c100_seq512_pred336_seed6.txt,results/ETTh1/DLinear_ETTh1_e10_f1_t100_c100_seq512_pred336_seed6.txt,DLinear,ETTh1,6,10,1,100,100,512,336,0.43747,0.44321,0.43963,8.5451,28833.87273,0.66304,0.41753,1.07739,0.43478,8.0
DLinear_ETTh1_e10_f1_t100_c100_seq512_pred96_seed6.txt,results/ETTh1/DLinear_ETTh1_e10_f1_t100_c100_seq512_pred96_seed6.txt,DLinear,ETTh1,6,10,1,100,100,512,96,0.39217,0.3929,0.36889,8.73643,34557.92712,0.60736,0.32655,0.65064,0.36835,9.0
DLinear_ETTh1_e10_f1_t100_c100_seq512_pred720_seed8.txt,results/ETTh1/DLinear_ETTh1_e10_f1_t100_c100_seq512_pred720_seed8.txt,DLinear,ETTh1,8,10,1,100,100,512,720,0.49304,0.50061,0.48594,9.88831,35160.82073,0.69709,0.49122,1.22519,0.47793,9.0
DLinear_ETTh1_e10_f1_t100_c100_seq512_pred192_seed6.txt,results/ETTh1/DLinear_ETTh1_e10_f1_t100_c100_seq512_pred192_seed6.txt,DLinear,ETTh1,6,10,1,100,100,512,192,0.41673,0.42093,0.40818,8.58743,30704.21972,0.63889,0.37366,0.8659,0.40473,8.0
DLinear_ETTh1_e10_f1_t100_c100_seq512_pred96_seed10.txt,results/ETTh1/DLinear_ETTh1_e10_f1_t100_c100_seq512_pred96_seed10.txt,DLinear,ETTh1,10,10,1,100,100,512,96,0.39193,0.3952,0.37022,8.73343,34437.41398,0.60845,0.32684,0.65092,0.36825,8.0
DLinear_ETTh1_e10_f1_t100_c100_seq512_pred192_seed9.txt,results/ETTh1/DLinear_ETTh1_e10_f1_t100_c100_seq512_pred192_seed9.txt,DLinear,ETTh1,9,10,1,100,100,512,192,0.41465,0.41697,0.40438,8.48644,30374.69878,0.63591,0.37336,0.8722,0.40319,9.0
DLinear_ETTh1_e10_f1_t100_c100_seq512_pred96_seed8.txt,results/ETTh1/DLinear_ETTh1_e10_f1_t100_c100_seq512_pred96_seed8.txt,DLinear,ETTh1,8,10,1,100,100,512,96,0.39158,0.39497,0.37049,8.51646,33257.51464,0.60868,0.32653,0.65165,0.36784,9.0
DLinear_ETTh1_e10_f1_t100_c100_seq512_pred720_seed7.txt,results/ETTh1/DLinear_ETTh1_e10_f1_t100_c100_seq512_pred720_seed7.txt,DLinear,ETTh1,7,10,1,100,100,512,720,0.49351,0.49624,0.4815,9.82462,35179.85587,0.6939,0.49108,1.22465,0.47832,
DLinear_ETTh1_e10_f1_t100_c100_seq512_pred720_seed9.txt,results/ETTh1/DLinear_ETTh1_e10_f1_t100_c100_seq512_pred720_seed9.txt,DLinear,ETTh1,9,10,1,100,100,512,720,0.49334,0.51367,0.50487,10.1445,36868.95848,0.71054,0.49151,1.22554,0.4781,8.0
