domain,x_metric,n,pearson_r,r_95ci_low,r_95ci_high,spearman_rho,kendall_tau_b,distance_corr,isotonic_R2,theilsen_slope,q25q75_delta_mean,q25q75_cohens_d,Q,df,I2,Q_pvalue,neg_slope_domains,K_domains,sign_test_p(one-sided)
CarbonCast,SNR,144,-0.3467435223391848,-0.4829282903561645,-0.19418134744407464,-0.04921536026461111,-0.006001548185220176,0.2196932300846663,0.19432254911301894,-0.0006928980231892882,0.012278333333333058,0.08908206259652086,,,,,,,
PEMS,SNR,144,0.47283502207051425,0.3351836861516613,0.5907219012817514,0.47669585498352973,0.2785410881186525,0.3875345831056432,0.44899302011639985,0.13289574699519402,0.2666400000000001,3.3339173910780477,,,,,,,
Fitbit,SNR,144,0.43429834550034785,0.2914255073653895,0.5582180408955085,0.45642643808456657,0.24977644380327907,0.49412976211577536,0.5039695837438087,0.033330380900280884,0.39776083333333334,1.7849941960345672,,,,,,,
Synthetic,SNR,126,-0.6886611466757387,-0.7707321463559678,-0.5841113766940108,-0.6473029162169923,-0.4945396724257795,0.5512229548448636,0.5736376706879236,-0.03945082581893493,-0.2749386111111114,-3.5781366516520716,,,,,,,
META_Pearson_weighted,SNR,558,-0.031061812192377726,-0.11444688057279087,0.052757876825986635,,,,,,,,173.55450240635332,3.0,0.9827143637393173,2.173990926951996e-37,,,
META_Pearson_macro,SNR,4,-0.05699930599487264,-0.776717746237061,0.7272762563871799,,,,,,,,1.3128371328331436,3.0,0.0,0.7260870527470644,,,
META_Spearman_weighted,SNR,558,,,,0.07474270550458122,,,,,,,142.5053261768722,3.0,0.9789481552691124,1.089515286813605e-30,,,
META_Spearman_macro,SNR,4,,,,0.04786092489421785,,,,,,,1.0990287512744132,3.0,0.0,0.7773085520919637,,,
MEANS/OTHER,SNR,4,,,,,0.006944077827732972,0.4131451325377371,0.4302307059152878,0.016318741438545798,0.10043513888888878,0.40746424951426596,,,,,2.0,4.0,0.6875
