domain,metric_bin,omega,rel_gain_pct,nA,nB
UniSynth,-0.028,-0.02782,-40.223392327452835,3,3
UniSynth,0.003,0.00301,-33.50175723457215,3,3
UniSynth,0.025,0.02517,-17.168552845865772,3,3
UniSynth,0.033,0.0328,-136.27797408716137,3,3
UniSynth,0.047,0.04668,-151.6143114075678,3,3
UniSynth,0.075,0.07461,-61.23141007986782,3,3
UniSynth,0.082,0.08226,-67.35907461713914,3,3
