time_step,solar_actual,solar_pred
0,-0.5396267175674438,
1,-0.820018470287323,
2,-0.820018470287323,
3,-0.820018470287323,
4,-0.820018470287323,
5,-0.820018470287323,
6,-0.820018470287323,
7,-0.820018470287323,
8,-0.820018470287323,
9,-0.820018470287323,
10,-0.820018470287323,
11,-0.820018470287323,
12,-0.820018470287323,
13,-0.820018470287323,
14,-0.820018470287323,
15,-0.7823881506919861,
16,-0.04240162670612335,
17,0.7652736306190491,
18,0.9997747540473938,
19,0.9947267770767212,
20,0.976829469203949,
21,1.0055110454559326,
22,0.9529663324356079,
23,0.6035091280937195,
24,-0.40218421816825867,
25,-0.820018470287323,
26,-0.820018470287323,
27,-0.820018470287323,
28,-0.820018470287323,
29,-0.820018470287323,
30,-0.820018470287323,
31,-0.820018470287323,
32,-0.820018470287323,
33,-0.820018470287323,
34,-0.820018470287323,
35,-0.820018470287323,
36,-0.820018470287323,
37,-0.820018470287323,
38,-0.820018470287323,
39,-0.7865183353424072,
40,-0.025651542469859123,
41,0.7992326617240906,
42,0.9878432154655457,
43,0.9678807854652405,
44,0.9538841247558594,
45,0.9892199039459229,
46,0.9837130308151245,
47,0.6576600670814514,
48,-0.37281420826911926,
49,-0.8016622066497803,
50,-0.8073985576629639,
51,-0.8069396615028381,
52,-0.8096930980682373,
53,-0.820018470287323,
54,-0.820018470287323,
55,-0.820018470287323,
56,-0.820018470287323,
57,-0.820018470287323,
58,-0.820018470287323,
59,-0.820018470287323,
60,-0.820018470287323,
61,-0.820018470287323,
62,-0.820018470287323,
63,-0.7837648987770081,
64,-0.016243962571024895,
65,0.8102464079856873,
66,0.985319197177887,
67,0.9793534278869629,
68,0.9665040373802185,
69,0.9811890721321106,
70,0.9456238150596619,
71,0.6193413734436035,
72,-0.3560641407966614,
73,-0.7736689448356628,
74,-0.820018470287323,
75,-0.820018470287323,
76,-0.820018470287323,
77,-0.820018470287323,
78,-0.820018470287323,
79,-0.820018470287323,
80,-0.820018470287323,
81,-0.820018470287323,
82,-0.820018470287323,
83,-0.820018470287323,
84,-0.820018470287323,
85,-0.820018470287323,
86,-0.820018470287323,
87,-0.785600483417511,
88,0.0037184651009738445,
89,0.8224074244499207,
90,0.9878432154655457,
91,0.976829469203949,
92,0.9635211825370789,
93,0.9949562549591064,
94,0.9658156633377075,
95,0.6397626996040344,
96,-0.3558346927165985,
97,-0.820018470287323,
98,-0.820018470287323,
99,-0.820018470287323,
100,-0.820018470287323,
101,-0.820018470287323,
102,-0.820018470287323,
103,-0.820018470287323,
104,-0.820018470287323,
105,-0.820018470287323,
106,-0.820018470287323,
107,-0.820018470287323,
108,-0.820018470287323,
109,-0.820018470287323,
110,-0.820018470287323,
111,-0.820018470287323,
112,-0.6722506284713745,
113,-0.5352670550346375,
114,-0.34780383110046387,
115,-0.2970946729183197,
116,-0.2326183170080185,
117,-0.4645954966545105,
118,-0.5878118872642517,
119,-0.6942781209945679,
120,-0.7849121689796448,
121,-0.820018470287323,
122,-0.820018470287323,
123,-0.820018470287323,
124,-0.820018470287323,
125,-0.820018470287323,
126,-0.820018470287323,
127,-0.820018470287323,
128,-0.820018470287323,
129,-0.820018470287323,
130,-0.820018470287323,
131,-0.820018470287323,
132,-0.820018470287323,
133,-0.820018470287323,
134,-0.820018470287323,
135,-0.820018470287323,
136,-0.37533819675445557,
137,0.056033793836832047,
138,0.4890119731426239,
139,0.5170052647590637,
140,0.3917238116264343,
141,0.3605181872844696,
142,0.39355942606925964,
