time_step,nat_gas_actual,nat_gas_pred
0,-1.5864264965057373,
1,-1.7247295379638672,
2,-1.7917920351028442,
3,-2.075575590133667,
4,-2.2507307529449463,
5,-1.8747094869613647,
6,-2.5040900707244873,
7,-2.5644032955169678,
8,-2.618931770324707,
9,-2.640036106109619,
10,-2.612825393676758,
11,-2.478593349456787,
12,-2.4564177989959717,
13,-2.30397367477417,
14,-2.091752052307129,
15,-2.061756134033203,
16,-2.0258679389953613,
17,-2.0056207180023193,
18,-2.0279033184051514,
19,-1.97283935546875,
20,-1.9463785886764526,
21,-1.8104324340820312,
22,-1.4029152393341064,
23,-1.3871673345565796,
24,-1.46515691280365,
25,-1.484654426574707,
26,-1.3917739391326904,
27,-1.632920265197754,
28,-2.0825390815734863,
29,-2.3720004558563232,
30,-1.9941579103469849,
31,-2.0100128650665283,
32,-2.0003714561462402,
33,-1.95109224319458,
34,-1.5743210315704346,
35,-1.1564123630523682,
36,-0.8450967073440552,
37,-0.8741285800933838,
38,-0.8200286626815796,
39,-0.6846181154251099,
40,-0.6558005213737488,
41,-0.7597152590751648,
42,-0.7255412340164185,
43,-0.7600366473197937,
44,-0.8681293725967407,
45,-0.7405392527580261,
46,-0.6564432978630066,
47,-0.6312680840492249,
48,-0.6868678331375122,
49,-0.7498594522476196,
50,-0.8708075881004333,
51,-1.2222964763641357,
52,-1.629813551902771,
53,-2.007441759109497,
54,-1.9794813394546509,
55,-2.0159049034118652,
56,-2.0463294982910156,
57,-2.0220112800598145,
58,-1.8611042499542236,
59,-1.356528639793396,
60,-1.014359951019287,
61,-0.9475116729736328,
62,-1.0173594951629639,
63,-0.8897693753242493,
64,-0.9107665419578552,
65,-0.9102309346199036,
66,-0.9175156354904175,
67,-1.0212161540985107,
68,-0.9950767755508423,
69,-0.9420480728149414,
70,-0.7931393980979919,
71,-0.7255412340164185,
72,-0.676583468914032,
73,-0.7193278074264526,
74,-0.7606794238090515,
75,-1.1352009773254395,
76,-1.2531495094299316,
77,-1.8912073373794556,
78,-1.5742138624191284,
79,-1.5159358978271484,
80,-1.516792893409729,
81,-1.4587292671203613,
82,-1.2210109233856201,
83,-0.8848414421081543,
84,-0.6803329586982727,
85,-0.6785117983818054,
86,-0.6959737539291382,
87,-0.7627148628234863,
88,-0.7830693125724792,
89,-0.8322412967681885,
90,-0.8521672487258911,
91,-0.832455575466156,
92,-0.8686650395393372,
93,-0.8356693983078003,
94,-0.7445030212402344,
95,-0.6899745464324951,
96,-0.7537160515785217,
97,-0.80610191822052,
98,-1.0122172832489014,
99,-1.1776238679885864,
100,-1.395737648010254,
101,-1.483154535293579,
102,-1.6697725057601929,
103,-1.7791508436203003,
104,-1.7177661657333374,
105,-1.660773754119873,
106,-1.6688083410263062,
107,-1.637634038925171,
108,-1.4286260604858398,
109,-1.3640276193618774,
110,-1.2928942441940308,
111,-1.2246532440185547,
112,-1.235687494277954,
113,-1.307677984237671,
114,-1.3916667699813843,
115,-1.529112696647644,
116,-1.4970812797546387,
117,-1.4822975397109985,
118,-1.2067627906799316,
119,-1.2540065050125122,
120,-1.2536851167678833,
121,-1.2870020866394043,
122,-1.3975588083267212,
123,-1.50168776512146,
124,-1.7429413795471191,
125,-1.5910331010818481,
126,-1.905348300933838,
127,-1.8585331439971924,
128,-1.8602471351623535,
129,-1.8491058349609375,
130,-1.8512483835220337,
131,-1.8468561172485352,
132,-1.747119426727295,
133,-1.715516448020935,
134,-1.6752361059188843,
135,-1.6725579500198364,
136,-1.7237653732299805,
137,-1.7417629957199097,
138,-1.8058258295059204,
139,-1.7840787172317505,
140,-1.7480835914611816,
141,-1.5700358152389526,
142,-1.310463309288025,
143,-1.1931575536727905,
144,-1.2439364194869995,
145,-1.2657907009124756,
146,-1.3322104215621948,
147,-1.5352190732955933,
148,-1.7028752565383911,
149,-1.8575689792633057,
150,-1.799076795578003,
151,-1.782900333404541,
152,-1.7473336458206177,
153,-1.6153512001037598,
154,-1.3003932237625122,
155,-1.0281795263290405,
156,-0.7812480926513672,
157,-0.7417176365852356,
158,-0.7340043783187866,
159,-0.8230282664299011,
160,-0.8607375025749207,
161,-0.9214794039726257,
162,-0.9109808206558228,
163,-0.9239433407783508,
164,-0.9152659773826599,
165,-0.9629381895065308,
166,-0.7731063365936279,
167,-0.6900816559791565,
168,-0.7944248914718628,
169,-0.845739483833313,
170,-1.0058966875076294,
171,-1.3144270181655884,
172,-1.6117088794708252,
173,-1.8482487201690674,
174,-1.7778652906417847,
175,-1.857033371925354,
176,-1.806682825088501,
177,-1.8244662284851074,
178,-1.710267186164856,
179,-1.449730396270752,
180,-1.212226390838623,
181,-1.2210109233856201,
182,-1.3763474225997925,
183,-1.4070932865142822,
184,-1.4549797773361206,
185,-1.6161011457443237,
186,-1.6036741733551025,
187,-1.6308848857879639,
188,-1.5647865533828735,
189,-1.5956395864486694,
190,-1.420377254486084,
191,-1.2774677276611328,
192,-1.3607065677642822,
193,-1.4407316446304321,
194,-1.5186141729354858,
195,-1.7546184062957764,
196,-2.1282827854156494,
197,-1.6254212856292725,
198,-2.1297826766967773,
199,-2.032188653945923,
200,-2.0530786514282227,
201,-2.014190912246704,
202,-1.7542970180511475,
203,-1.4716918468475342,
204,-1.2657907009124756,
205,-1.1799806356430054,
206,-1.220903754234314,
207,-1.3236401081085205,
208,-1.3207476139068604,
209,-1.3190336227416992,
210,-1.2670762538909912,
211,-1.242008090019226,
212,-1.1904792785644531,
213,-1.0652459859848022,
214,-0.8252779245376587,
215,-0.6908316016197205,
216,-0.8617016673088074,
217,-0.8413472175598145,
218,-0.9450476765632629,
219,-1.1814805269241333,
220,-1.3510650396347046,
221,-2.0672194957733154,
222,-1.4091286659240723,
223,-1.3856675624847412,
224,-1.4084858894348145,
225,-1.3102490901947021,
226,-1.1615545749664307,
227,-0.9023033976554871,
228,-0.5133194923400879,
