time_step,PEMS_actual,PEMS_pred
0,-1.0579615831375122,
1,-1.2661826610565186,
2,-1.509761929512024,
3,-1.6040507555007935,
4,-1.6983394622802734,
5,-1.6904821395874023,
6,-1.4586888551712036,
7,-0.6493768692016602,
8,0.6981667876243591,
9,2.316790819168091,
10,2.0221383571624756,
11,0.9338887333869934,
12,0.8160277605056763,
13,0.5253040790557861,
14,0.3799422085285187,
15,0.4192292094230652,
16,0.611735463142395,
17,0.8042416572570801,
18,0.9928192496299744,
19,1.0046052932739258,
20,0.7295964360237122,
21,-0.02864247001707554,
22,-0.4961576461791992,
23,-0.7043786644935608,
24,-0.8968849182128906,
25,-1.1365355253219604,
26,-1.450831413269043,
27,-1.5844072103500366,
28,-1.7376264333724976,
29,-1.6865533590316772,
30,-1.5529776811599731,
31,-0.9715301990509033,
32,0.08528979867696762,
33,1.2363985776901245,
34,1.5664092302322388,
35,0.8317425847053528,
36,0.8985304832458496,
37,0.4978031814098358,
38,0.5999493598937988,
39,0.7020955085754395,
40,0.9928192496299744,
41,1.259970784187317,
42,1.6017675399780273,
43,1.4131900072097778,
44,1.1224663257598877,
45,0.4820883870124817,
46,0.04600280895829201,
47,-0.4529419541358948,
48,-0.79473876953125,
49,-1.014745831489563,
50,-1.3486852645874023,
51,-1.549048900604248,
52,-1.5647636651992798,
53,-1.6708385944366455,
54,-1.6315516233444214,
55,-1.450831413269043,
56,-1.3054696321487427,
57,-0.8850988149642944,
58,-0.4332984387874603,
59,0.038145411759614944,
60,0.48994576930999756,
61,0.6078067421913147,
62,0.9299600720405579,
63,0.941746175289154,
64,0.7531685829162598,
65,0.737453818321228,
66,0.9338887333869934,
67,1.2285411357879639,
68,1.016391396522522,
69,0.7610260248184204,
70,0.09707589447498322,
71,-0.008998976089060307,
72,-0.19757652282714844,
73,-0.5433019995689392,
74,-1.0108171701431274,
75,-1.3329704999923706,
76,-1.549048900604248,
77,-1.6158368587493896,
78,-1.6904821395874023,
79,-1.6040507555007935,
80,-1.5019044876098633,
81,-1.297612190246582,
82,-1.0540329217910767,
83,-0.7711665630340576,
84,-0.1936478167772293,
85,0.28958213329315186,
86,0.533161461353302,
87,1.016391396522522,
88,1.2088977098464966,
89,1.24032723903656,
90,1.8414181470870972,
91,2.0299956798553467,
92,2.0064234733581543,
93,1.7235572338104248,
94,1.1499671936035156,
95,0.5488762855529785,
96,0.08921849727630615,
97,-0.637590765953064,
98,-1.1679651737213135,
99,-1.5254766941070557,
100,-1.6236941814422607,
