time_step,coal_actual,coal_pred
0,-0.7157262563705444,
1,-0.3474693298339844,
2,-0.3474693298339844,
3,-0.5315977931022644,
4,-0.5315977931022644,
5,-0.8998547196388245,
6,-0.3474693298339844,
7,-0.16334086656570435,
8,-0.16334086656570435,
9,-0.3474693298339844,
10,-0.5315977931022644,
11,-0.3474693298339844,
12,-0.7157262563705444,
13,-0.16334086656570435,
14,-0.16334086656570435,
15,-0.5315977931022644,
16,0.020787598565220833,
17,0.2049160599708557,
18,-0.16334086656570435,
19,0.020787598565220833,
20,0.2049160599708557,
21,0.2049160599708557,
22,0.2049160599708557,
23,0.5731729865074158,
24,0.38904452323913574,
25,0.38904452323913574,
26,0.2049160599708557,
27,0.38904452323913574,
28,0.5731729865074158,
29,0.2049160599708557,
30,0.38904452323913574,
31,0.020787598565220833,
32,0.020787598565220833,
33,-0.16334086656570435,
34,0.020787598565220833,
35,-0.5315977931022644,
36,-0.16334086656570435,
37,-0.3474693298339844,
38,-0.16334086656570435,
39,-0.3474693298339844,
40,-0.16334086656570435,
41,-0.3474693298339844,
42,-0.3474693298339844,
43,-0.16334086656570435,
44,-0.3474693298339844,
45,0.2049160599708557,
46,0.2049160599708557,
47,0.38904452323913574,
48,0.38904452323913574,
49,0.2049160599708557,
50,0.38904452323913574,
51,0.5731729865074158,
52,0.7573014497756958,
53,1.3096867799758911,
54,0.9414299130439758,
55,0.9414299130439758,
56,0.7573014497756958,
57,0.7573014497756958,
58,0.5731729865074158,
59,0.5731729865074158,
60,0.7573014497756958,
61,0.5731729865074158,
62,0.5731729865074158,
63,0.5731729865074158,
64,0.5731729865074158,
65,0.2049160599708557,
66,0.020787598565220833,
67,0.020787598565220833,
68,0.020787598565220833,
69,0.020787598565220833,
70,-0.16334086656570435,
71,0.020787598565220833,
72,-0.16334086656570435,
73,-0.3474693298339844,
74,-0.16334086656570435,
75,-0.16334086656570435,
76,0.020787598565220833,
77,-0.16334086656570435,
78,0.020787598565220833,
79,0.38904452323913574,
80,0.020787598565220833,
81,0.020787598565220833,
82,0.2049160599708557,
83,0.5731729865074158,
84,0.5731729865074158,
85,0.5731729865074158,
86,0.020787598565220833,
87,0.020787598565220833,
88,0.7573014497756958,
89,0.2049160599708557,
90,0.020787598565220833,
