time_step,None_actual,None_pred
0,-0.6833077669143677,
1,-0.7784138917922974,
2,-0.8606242537498474,
3,-1.0556724071502686,
4,-1.2104214429855347,
5,-1.245884656906128,
6,-1.245884656906128,
7,-1.1717342138290405,
8,-0.8799679279327393,
9,-0.24807631969451904,
10,0.43217429518699646,
11,0.4096067547798157,
12,0.3531878590583801,
13,0.1468559056520462,
14,-0.4818117320537567,
15,-0.4350646436214447,
16,-0.4463484287261963,
17,-0.4092731475830078,
18,-0.431840717792511,
19,-0.41088512539863586,
20,-0.43667662143707275,
21,-0.4721399247646332,
22,-0.5204989910125732,
23,-0.6526803970336914,
24,-0.6849197149276733,
25,-0.7751899361610413,
26,-0.9541184306144714,
27,-1.134658932685852,
28,-1.2200932502746582,
29,-1.2539445161819458,
30,-1.2636163234710693,
31,-1.1959136724472046,
32,-0.9895817637443542,
33,-0.5994853973388672,
34,-0.3222268521785736,
35,0.05497371777892113,
36,0.1726474016904831,
37,-0.3721978962421417,
38,-0.3883175551891327,
39,-0.37058591842651367,
40,-0.3689739406108856,
41,-0.3947654366493225,
42,-0.3915415108203888,
43,-0.41894495487213135,
44,-0.41088512539863586,
45,-0.4753638505935669,
46,-0.5543503165245056,
47,-0.6913676261901855,
48,-0.7203830480575562,
49,-0.728442907333374,
50,-0.8686841130256653,
51,-0.9928056597709656,
52,-1.092747688293457,
53,-1.1540025472640991,
54,-1.2088093757629395,
55,-1.2152572870254517,
56,-1.1572264432907104,
57,-1.046000599861145,
58,-0.8622362613677979,
59,-0.7010394334793091,
60,-0.5946494936943054,
61,-0.5092151761054993,
62,-0.42216891050338745,
63,-0.38186970353126526,
64,-0.3689739406108856,
65,-0.37058591842651367,
66,-0.3802577257156372,
67,-0.38992953300476074,
68,-0.36736199259757996,
69,-0.496319442987442,
70,-0.6333367228507996,
71,-0.6720240116119385,
72,-0.6639641523361206,
73,-0.7155471444129944,
74,-0.8493404984474182,
75,-1.0169851779937744,
76,-1.1233750581741333,
77,-1.162062406539917,
78,-1.2200932502746582,
79,-1.2346009016036987,
80,-1.2088093757629395,
81,-1.134658932685852,
82,-1.0379407405853271,
83,-0.9089833498001099,
84,-0.713935136795044,
85,-0.5462904572486877,
86,-0.4286167621612549,
87,-0.4237808585166931,
88,-0.3544662296772003,
89,-0.38992953300476074,
90,-0.41572102904319763,
91,-0.43345266580581665,
92,-0.45118433237075806,
93,-0.5317827463150024,
94,-0.604321300983429,
95,-0.5978734493255615,
96,-0.6365606784820557,
97,-0.8009814620018005,
98,-0.983133852481842,
99,-1.1378828287124634,
100,-1.2297650575637817,
101,-1.2587804794311523,
102,-1.2539445161819458,
103,-1.1685101985931396,
104,-0.8880277276039124,
105,-0.25452420115470886,
106,0.3757553994655609,
107,0.5031009316444397,
108,0.5982070565223694,
109,0.0888250544667244,
110,-0.4527963101863861,
111,-0.3883175551891327,
112,-0.4527963101863861,
113,-0.402825266122818,
114,-0.4173330068588257,
115,-0.43667662143707275,
116,-0.4527963101863861,
117,-0.5317827463150024,
118,-0.6091572046279907,
119,-0.7397266626358032,
