time_step,hr_actual,hr_pred
435,-2.197359323501587,
436,-2.197319984436035,
437,-2.1972806453704834,
438,-2.1972413063049316,
439,-2.19720196723938,
440,-2.197162628173828,
441,-2.1971232891082764,
442,-2.1970841884613037,
443,-2.197044849395752,
444,-2.1970055103302,
445,-2.1969661712646484,
446,-2.1969268321990967,
447,-2.196887493133545,
448,-2.196848154067993,
449,-2.1968088150024414,
450,-2.1967697143554688,
451,-2.196730375289917,
452,-2.1966910362243652,
453,-2.1966516971588135,
454,-2.1966123580932617,
455,-2.19657301902771,
456,-2.196533679962158,
457,-2.1964943408966064,
458,-2.196455240249634,
459,-2.196415901184082,
460,-2.1963765621185303,
461,-2.1963372230529785,
462,-2.1962978839874268,
463,-2.196258544921875,
464,-2.1962192058563232,
465,-2.1961798667907715,
466,-2.196140766143799,
467,-2.196101427078247,
468,-2.1960620880126953,
469,-2.1960227489471436,
470,-2.195983409881592,
471,-2.19594407081604,
472,-2.1959047317504883,
473,-2.1958656311035156,
474,-2.195826292037964,
475,-2.195786952972412,
476,-2.1957476139068604,
477,-2.1957082748413086,
478,-2.195668935775757,
479,-2.195629596710205,
480,-2.1955902576446533,
481,-2.1955511569976807,
482,-2.195511817932129,
483,-2.195472478866577,
484,-2.1954331398010254,
485,-2.1953938007354736,
486,-2.195354461669922,
487,-2.19531512260437,
488,-2.1952757835388184,
489,-2.1952366828918457,
490,-2.195197343826294,
491,-2.195158004760742,
492,-2.1951186656951904,
493,-2.1950793266296387,
494,-2.195039987564087,
495,-2.195000648498535,
496,-2.1949613094329834,
497,-2.1949222087860107,
498,-2.194882869720459,
499,-2.1948435306549072,
500,-2.1948041915893555,
501,-2.1947648525238037,
502,-2.194725513458252,
503,-2.1946861743927,
504,-2.1946468353271484,
505,-2.194607734680176,
506,-2.194568395614624,
507,-2.1945290565490723,
508,-2.1944897174835205,
509,-2.1944503784179688,
510,-2.194411039352417,
511,-2.1943717002868652,
512,-2.1943323612213135,-2.1969738006591797
513,-2.194293260574341,-2.197387218475342
514,-2.194253921508789,-2.197542190551758
515,-2.1942145824432373,-2.1974904537200928
516,-2.1941752433776855,-2.197593927383423
517,-2.194135904312134,-2.197697162628174
518,-2.194096565246582,-2.198033094406128
519,-2.1940572261810303,-2.198369026184082
520,-2.1940178871154785,-2.198188066482544
521,-2.193978786468506,-2.198420763015747
522,-2.193939447402954,-2.198239803314209
523,-2.1939001083374023,-2.198498249053955
524,-2.1938607692718506,-2.198523998260498
525,-2.193821430206299,-2.198885917663574
526,-2.193782091140747,-2.198859930038452
527,-2.1937427520751953,-2.199066638946533
528,-2.1937034130096436,-2.198782444000244
529,-2.193664312362671,-2.198704957962036
530,-2.193624973297119,-2.198756694793701
531,-2.1935856342315674,-2.198730707168579
532,-2.1935462951660156,-2.1990926265716553
533,-2.193506956100464,-2.199221611022949
534,-2.193467617034912,-2.199014902114868
535,-2.1934282779693604,-2.198679208755493
536,-2.1933889389038086,-2.198523998260498
537,-2.193349838256836,-2.198317289352417
538,-2.193310499191284,-2.198265790939331
539,-2.1932711601257324,-2.198317289352417
540,-2.1932318210601807,-2.198214054107666
541,-2.193192481994629,-2.198627471923828
542,-2.193153142929077,-2.19844651222229
543,-2.1931138038635254,-2.198420763015747
544,-2.1930744647979736,-2.198627471923828
545,-2.193035364151001,-2.198834180831909
546,-2.192996025085449,-2.198859930038452
547,-2.1929566860198975,-2.198885917663574
548,-2.1929173469543457,-2.1992993354797363
549,-2.192878007888794,-2.1994025707244873
550,-2.192838668823242,-2.199144124984741
551,-2.1927993297576904,-2.198859930038452
552,-2.1927599906921387,-2.199066638946533
553,-2.192720890045166,-2.1992993354797363
554,-2.1926815509796143,-2.1998159885406494
555,-2.1926422119140625,-2.1997385025024414
556,-2.1926028728485107,-2.1998159885406494
557,-2.192563533782959,-2.1995575428009033
558,-2.1925241947174072,-2.1996092796325684
559,-2.1924848556518555,-2.1995060443878174
560,-2.192445755004883,-2.1994543075561523
561,-2.192406415939331,-2.1991958618164062
562,-2.1923670768737793,-2.1994283199310303
563,-2.1923277378082275,-2.1992733478546143
564,-2.192288398742676,-2.1992475986480713
565,-2.192249059677124,-2.199144124984741
566,-2.1922097206115723,-2.1992475986480713
567,-2.1921703815460205,-2.1994283199310303
568,-2.192131280899048,-2.198911666870117
569,-2.192091941833496,-2.198730707168579
570,-2.1920526027679443,-2.1994543075561523
571,-2.1920132637023926,-2.1993508338928223
572,-2.191973924636841,-2.1995575428009033
573,-2.191934585571289,-2.1995575428009033
574,-2.1918952465057373,-2.2001776695251465
575,-2.1918559074401855,-2.2003843784332275
576,-2.191816806793213,-2.2003843784332275
577,-2.191777467727661,-2.2001519203186035
578,-2.1917381286621094,-2.1997902393341064
579,-2.1916987895965576,-2.2002551555633545
580,-2.191659450531006,-2.1994283199310303
