time_step,feat0_actual,feat0_pred,feat1_actual,feat1_pred,feat2_actual,feat2_pred,feat3_actual,feat3_pred,feat4_actual,feat4_pred,feat5_actual,feat5_pred,feat6_actual,feat6_pred,feat7_actual,feat7_pred
0,-1.010728120803833,,-0.39413583278656006,,0.6787712574005127,,0.7468803524971008,,0.4040292799472809,,-0.537074625492096,,0.42865049839019775,,-0.3356860280036926,
1,-0.5944206118583679,,0.2636343240737915,,0.6805537343025208,,0.7048445343971252,,1.1247707605361938,,-0.8220544457435608,,0.19398415088653564,,-0.3356860280036926,
2,-0.5944206118583679,,0.29443466663360596,,0.6805537343025208,,0.8309520483016968,,1.2891777753829956,,-0.8220544457435608,,0.27725285291671753,,-0.26732656359672546,
3,-0.8025743365287781,,0.05873369798064232,,0.6769887804985046,,0.8309520483016968,,1.2432061433792114,,-0.8220544457435608,,0.28255176544189453,,-0.1761806309223175,
4,-0.8025743365287781,,-0.04489120468497276,,0.6787712574005127,,0.7468803524971008,,1.018802285194397,,-0.8220544457435608,,0.4097258150577545,,-0.29922765493392944,
5,-1.2188818454742432,,-0.25736141204833984,,0.6805537343025208,,0.7468803524971008,,0.647133469581604,,-0.8220544457435608,,1.0228862762451172,,-0.3356860280036926,
6,-0.5944206118583679,,-0.17044177651405334,,0.6752062439918518,,0.8309520483016968,,0.4437674582004547,,-0.8220544457435608,,0.7745941281318665,,-0.3356860280036926,
7,-0.3862668573856354,,-0.13494306802749634,,0.6769887804985046,,0.7889162302017212,,0.33624061942100525,,-0.8220544457435608,,0.5596094727516174,,-0.3356860280036926,
8,-0.3862668573856354,,-0.25736141204833984,,0.6769887804985046,,0.9570595622062683,,0.1554708629846573,,-0.8220544457435608,,0.7473425269126892,,0.006111279595643282,
9,-0.5944206118583679,,-0.3252265751361847,,0.6787712574005127,,0.7889162302017212,,0.17572954297065735,,-0.8220544457435608,,0.4316784739494324,,-0.10326386243104935,
10,-0.8025743365287781,,-0.36307448148727417,,0.6823362112045288,,0.7889162302017212,,-0.0011443215189501643,,-0.8220544457435608,,0.328728049993515,,-0.3356860280036926,
11,-0.5944206118583679,,-0.39413583278656006,,0.6805537343025208,,0.7468803524971008,,-0.22788570821285248,,-0.8220544457435608,,0.3673344552516937,,-0.3356860280036926,
12,-1.010728120803833,,-0.38813239336013794,,0.6787712574005127,,0.8309520483016968,,-0.20762702822685242,,-0.8220544457435608,,0.2939065992832184,,-0.3356860280036926,
13,-0.3862668573856354,,-0.30382293462753296,,0.6823362112045288,,0.8729879260063171,,-0.04867430403828621,,-0.8220544457435608,,0.1750594526529312,,-0.27188387513160706,
14,-0.3862668573856354,,-0.25396814942359924,,0.6841186881065369,,0.7468803524971008,,0.2816980183124542,,-0.8220544457435608,,0.12888316810131073,,-0.3356860280036926,
15,-0.8025743365287781,,-0.2568393647670746,,0.6805537343025208,,0.8729879260063171,,0.39545831084251404,,-0.7838084101676941,,0.05091337859630585,,-0.3356860280036926,
16,-0.17811313271522522,,-0.6475861668586731,,0.6805537343025208,,0.7889162302017212,,-0.2941160202026367,,-0.03171353414654732,,-0.021757492795586586,,-0.3356860280036926,
17,0.03004060685634613,,-1.0344176292419434,,0.6805537343025208,,0.6628087162971497,,-0.3852800726890564,,0.7891775965690613,,0.022904813289642334,,0.006111279595643282,
