time_step,wind_actual,wind_pred
0,0.45955759286880493,
1,0.22187599539756775,
2,0.3062146306037903,
3,0.31158164143562317,
4,0.4403897225856781,
5,1.0614286661148071,
6,0.8099462389945984,
7,0.5921992063522339,
8,0.7823445200920105,
9,0.4626244306564331,
10,0.3583512306213379,
11,0.3974536955356598,
12,0.3230823576450348,
13,0.20270812511444092,
14,0.1559385359287262,
15,0.07696691155433655,
16,0.00336229195818305,
17,0.04859846457839012,
18,-0.0947771966457367,
19,0.141370952129364,
20,-0.04494073987007141,
21,-0.24658672511577606,
22,-0.5264376401901245,
23,-0.8246896862983704,
24,-1.022502064704895,
25,-1.0754053592681885,
26,-1.14670991897583,
27,-1.1651110649108887,
28,-1.2019133567810059,
29,-1.2034467458724976,
30,-1.24561607837677,
31,-1.266317367553711,
32,-1.263250470161438,
33,-1.299286127090454,
34,-1.25558340549469,
35,-1.2295150756835938,
36,-1.2164808511734009,
37,-1.1628109216690063,
38,-1.1474765539169312,
39,-1.093806505203247,
40,-1.1099075078964233,
41,-1.1490100622177124,
42,-1.1398093700408936,
43,-1.1865789890289307,
44,-1.0715718269348145,
45,-1.224914789199829,
46,-1.2279815673828125,
47,-1.273217797279358,
48,-1.2762846946716309,
49,-1.3391553163528442,
50,-1.2847185134887695,
51,-1.2195477485656738,
52,-1.1796785593032837,
53,-1.0922731161117554,
54,-1.0386030673980713,
55,-1.0217353105545044,
56,-0.9688320159912109,
57,-0.9289628863334656,
58,-0.9350965619087219,
59,-1.0424365997314453,
60,-1.0217353105545044,
61,-1.2187809944152832,
62,-1.0823057889938354,
63,-1.1060739755630493,
64,-1.0945732593536377,
65,-1.1697113513946533,
66,-1.1796785593032837,
67,-1.188112497329712,
68,-1.153610348701477,
69,-1.157443881034851,
70,-1.1582106351852417,
71,-1.1980797052383423,
72,-1.2034467458724976,
73,-1.2402490377426147,
74,-1.1896458864212036,
75,-1.181978702545166,
76,-1.1589772701263428,
77,-1.1666444540023804,
78,-1.1666444540023804,
79,-1.1796785593032837,
80,-1.1827454566955566,
81,-1.185045599937439,
82,-1.1804453134536743,
83,-1.1252418756484985,
84,-1.1444096565246582,
85,-1.1942461729049683,
86,-1.2111139297485352,
87,-1.2655506134033203,
88,-1.2640172243118286,
89,-1.3000527620315552,
90,-1.2824183702468872,
91,-1.3506560325622559,
92,-1.2824183702468872,
93,-1.2739845514297485,
94,-1.4127599000930786,
95,-1.3682904243469238,
96,-1.3069531917572021,
97,-1.2755179405212402,
98,-1.263250470161438,
99,-1.2686175107955933,
100,-1.1689445972442627,
101,-1.083072543144226,
102,-1.0554708242416382,
103,-1.0071678161621094,
104,-1.114507794380188,
105,-1.1405761241912842,
106,-1.242549180984497,
107,-1.178145170211792,
108,-1.1858123540878296,
109,-1.1313755512237549,
110,-1.0140682458877563,
111,-0.8798931241035461,
112,-0.8890936970710754,
113,-0.779453456401825,
114,-0.6100095510482788,
115,-0.5785742402076721,
116,-0.5509724617004395,
117,-0.3063904643058777,
118,-0.1691485345363617,
119,-0.06870889663696289,
120,-0.32095804810523987,
121,-0.17221538722515106,
122,-0.4328984022140503,
123,-0.7173495888710022,
124,-0.8760595321655273,
125,-0.8906271457672119,
126,-0.8568916916847229,
127,-0.8683924078941345,
128,-0.8975275754928589,
129,-0.7909542322158813,
130,-0.5302711725234985,
131,-0.45436641573905945,
132,-0.423697829246521,
133,-0.21131783723831177,
134,-0.19828368723392487,
135,-0.26882144808769226,
136,-0.2289522886276245,
137,-0.08250976353883743,
138,-0.09707733988761902,
139,0.1651391088962555,
140,0.1390708088874817,
141,0.21037527918815613,
142,0.3644849359989166,
143,0.28704676032066345,
144,0.2939471900463104,
145,0.32614919543266296,
146,0.5400626063346863,
147,0.6382021307945251,
148,0.4733584523200989,
149,0.67270427942276,
150,0.8789505362510681,
151,0.9755566120147705,
152,0.8015123605728149,
153,1.010825514793396,
154,0.5546302199363708,
155,0.4787254333496094,
156,-0.04494073987007141,
157,-0.46050015091896057,
158,-0.5923750996589661,
