time_step,synth_actual,synth_pred
0,-0.8410108685493469,
1,-0.9322594404220581,
2,-0.8603774309158325,
3,-0.8455896973609924,
4,-0.8903088569641113,
5,-0.9883566498756409,
6,-0.8132728934288025,
7,-0.8483456969261169,
8,-1.0159268379211426,
9,-0.9623563885688782,
10,-0.8495877981185913,
11,-0.9044691920280457,
12,-0.7903305292129517,
13,-0.9418168067932129,
14,-0.8907865881919861,
15,-0.9087294340133667,
16,-0.9761475324630737,
17,-0.989782452583313,
18,-0.9499067664146423,
19,-0.9844555854797363,
20,-0.8159122467041016,
21,-0.9356975555419922,
22,-0.9761708378791809,
23,-0.8674637079238892,
24,-0.8747839331626892,
25,-0.8164111375808716,
26,-0.8675583004951477,
27,-0.9633826613426208,
28,-0.8998087048530579,
29,-0.8906950950622559,
30,-0.8766866326332092,
31,-0.7683725357055664,
32,-0.9011310935020447,
33,-0.7682245969772339,
34,-0.937379002571106,
35,-0.8988394737243652,
36,-0.9590988755226135,
37,-0.9183450937271118,
38,-0.9144742488861084,
39,-0.7981926202774048,
40,-0.9299983978271484,
41,-0.8656818270683289,
42,-1.0427277088165283,
43,-0.8763672709465027,
44,-1.035149097442627,
45,-0.9676192998886108,
46,-0.8051442503929138,
47,-0.9490588307380676,
48,-0.8185909390449524,
49,-0.9238259196281433,
50,-0.8396166563034058,
51,-0.9555720090866089,
52,-0.9541077017784119,
53,-0.8658458590507507,
54,-0.9158417582511902,
55,-1.0351313352584839,
56,-0.8806725144386292,
57,-0.908240020275116,
58,-0.8154078722000122,
59,-0.8514236211776733,
60,-0.8662381172180176,
61,-0.9562533497810364,
62,-0.9445692896842957,
63,-0.901557445526123,
64,-0.8095804452896118,
65,-0.9365139603614807,
66,-0.9035421013832092,
67,-0.9125418663024902,
68,-0.8555483222007751,
69,-0.752960205078125,
70,-0.6826623678207397,
71,-0.9326870441436768,
72,-0.9291864037513733,
73,-0.9734660983085632,
74,-0.92909836769104,
75,-0.8085943460464478,
76,-0.8434426784515381,
77,-0.9661250114440918,
78,-0.9599863886833191,
79,-0.8661506175994873,
80,-0.9404366612434387,
81,-0.9550447463989258,
82,-0.9094026684761047,
83,-0.9524970650672913,
84,-0.9225792288780212,
85,-0.924494743347168,
86,-0.9144635200500488,
87,-0.900496244430542,
88,-0.9076147675514221,
89,-0.9345785975456238,
90,-0.9625459909439087,
91,-0.8790155649185181,
92,-0.9442298412322998,
93,-0.8280959725379944,
94,-0.7829482555389404,
95,-0.9050077795982361,
96,-0.8837119340896606,
97,-0.8740889430046082,
98,-0.8612194657325745,
99,-0.8296613693237305,
100,-0.9385883808135986,
101,-0.8202597498893738,
102,-0.9655163884162903,
103,-0.9709250926971436,
104,-1.0209225416183472,
105,-0.8646153211593628,
106,-0.8598380088806152,
107,-0.8539991974830627,
108,-0.7692278027534485,
109,-0.7724069356918335,
110,-0.895910918712616,
111,-0.9313264489173889,
112,-0.8497751951217651,
113,-0.8211002945899963,
114,-0.928087592124939,
115,-0.855976402759552,
116,-0.979600727558136,
117,-0.8469502925872803,
118,-1.0369373559951782,
119,-0.9531098008155823,
120,-0.9089779853820801,
121,-0.8614544868469238,
122,-1.0155516862869263,
123,-0.8746352195739746,
124,-0.9068348407745361,
125,-0.804319441318512,
126,-0.7504790425300598,
127,-0.8828285336494446,
128,-0.8995410203933716,
129,-0.9573065638542175,
130,-0.9874845743179321,
131,-0.9130961298942566,
132,-0.9818829894065857,
133,-0.9186304211616516,
134,-0.9479175209999084,
135,-0.8259710073471069,
136,-0.89635169506073,
137,-0.9260940551757812,
138,-0.8956145644187927,
139,-0.8718531727790833,
140,-0.933738648891449,
141,-0.9125143885612488,
