log_path,smape,se
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/spectralUniTest/spectralUniTest_CISO_solar_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed1_initseed11.txt,0.83721,0.30375
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/fitbit_eval/test_fitbit_hr_low_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_initseed12.txt,0.72758,0.44255
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/spectralUniTest/spectralUniTest_FR_wind_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed1_initseed11.txt,1.11785,0.45675
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/fitbit_eval/test_fitbit_hr_low_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_initseed13.txt,0.71997,0.44255
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_h200_seq512_pred96_seed1_initseed11.txt,1.16377,0.68372
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed1_init11.txt,0.5275,0.61165
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed2_init11.txt,0.52642,0.61165
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed3_init11.txt,0.52586,0.61165
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/spectralUniTest/spectralUniTest_SWPP_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed1_initseed11.txt,1.01996,0.45953
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/spectralUniTest/spectralUniTest_PJM_oil_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed1_initseed11.txt,0.92746,0.66366
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/spectralUniTest/spectralUniTest_PJM_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed1_initseed11.txt,0.9242,0.46377
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_h200_seq512_pred96_seed1_initseed12.txt,1.16418,0.68372
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/spectralUniTest/spectralUniTest_FR_wind_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed2_initseed11.txt,1.10092,0.45675
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_h200_seq512_pred96_seed1_initseed13.txt,1.15584,0.68372
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_h200_seq512_pred96_seed2_initseed11.txt,1.16288,0.68372
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/spectralUniTest/spectralUniTest_CISO_solar_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed2_initseed11.txt,0.66615,0.30375
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_h200_seq512_pred96_seed2_initseed12.txt,1.16531,0.68372
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_h200_seq512_pred96_seed2_initseed13.txt,1.16112,0.68372
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/spectralUniTest/spectralUniTest_FR_wind_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed3_initseed11.txt,1.12137,0.45675
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_h200_seq512_pred96_seed3_initseed11.txt,1.15983,0.68372
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/spectralUniTest/spectralUniTest_SWPP_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed2_initseed11.txt,1.00036,0.45953
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/spectralUniTest/spectralUniTest_PJM_oil_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed2_initseed11.txt,0.93106,0.66366
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed1_init11.txt,0.41034,0.45244
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_h200_seq512_pred96_seed3_initseed12.txt,1.16194,0.68372
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed2_init11.txt,0.4243,0.45244
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/spectralUniTest/spectralUniTest_PJM_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed2_initseed11.txt,0.90695,0.46377
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init11.txt,0.44216,0.53666
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed3_init11.txt,0.41399,0.45244
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init12.txt,0.44533,0.53666
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init13.txt,0.44159,0.53666
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_h200_seq512_pred96_seed3_initseed13.txt,1.17725,0.68372
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init11.txt,0.45645,0.53666
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/spectralUniTest/spectralUniTest_CISO_solar_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed3_initseed11.txt,0.87648,0.30375
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init12.txt,0.47122,0.53666
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_h200_seq512_pred96_seed1_initseed11.txt,1.15645,0.68372
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init13.txt,0.44123,0.53666
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_h300_seq512_pred96_seed1_initseed11.txt,1.20756,0.58736
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init11.txt,0.45389,0.53666
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init12.txt,0.43717,0.53666
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_h200_seq512_pred96_seed2_initseed11.txt,1.13683,0.68372
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init13.txt,0.44587,0.53666
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_h300_seq512_pred96_seed1_initseed12.txt,1.19684,0.58736
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_h200_seq512_pred96_seed3_initseed11.txt,1.16143,0.68372
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/spectralUniTest/spectralUniTest_FR_wind_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_initseed11.txt,1.09472,0.45675
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_h300_seq512_pred96_seed1_initseed13.txt,1.20274,0.58736
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/spectralUniTest/spectralUniTest_SWPP_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed3_initseed11.txt,1.01911,0.45953
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_h300_seq512_pred96_seed1_initseed11.txt,1.19269,0.58736
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/spectralUniTest/spectralUniTest_PJM_oil_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed3_initseed11.txt,1.01441,0.66366
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_h300_seq512_pred96_seed2_initseed11.txt,1.21037,0.58736
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_h300_seq512_pred96_seed2_initseed11.txt,1.18266,0.58736
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_h300_seq512_pred96_seed2_initseed12.txt,1.20219,0.58736
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/spectralUniTest/spectralUniTest_PJM_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed3_initseed11.txt,0.88811,0.46377
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_h300_seq512_pred96_seed3_initseed11.txt,1.20278,0.58736
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_h300_seq512_pred96_seed2_initseed13.txt,1.20059,0.58736
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_h400_seq512_pred96_seed1_initseed11.txt,1.10606,0.53706
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/spectralUniTest/spectralUniTest_FR_wind_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_initseed12.txt,1.15181,0.45675
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_h300_seq512_pred96_seed3_initseed11.txt,1.20272,0.58736
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/spectralUniTest/spectralUniTest_CISO_solar_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_initseed11.txt,0.56334,0.30375
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_h400_seq512_pred96_seed2_initseed11.txt,1.07823,0.53706
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_h300_seq512_pred96_seed3_initseed12.txt,1.20409,0.58736
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_h400_seq512_pred96_seed3_initseed11.txt,1.12441,0.53706
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_h300_seq512_pred96_seed3_initseed13.txt,1.20855,0.58736
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_h500_seq512_pred96_seed1_initseed11.txt,0.97688,0.47353
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_h400_seq512_pred96_seed1_initseed11.txt,1.11394,0.53706
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_h500_seq512_pred96_seed2_initseed11.txt,0.94656,0.47353
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/spectralUniTest/spectralUniTest_FR_wind_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_initseed13.txt,1.15712,0.45675
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_h400_seq512_pred96_seed1_initseed12.txt,1.11418,0.53706
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_h500_seq512_pred96_seed3_initseed11.txt,0.97502,0.47353
