lle_ctx_mean,mae_loss,mase_loss,mse_loss,omega_ctx_mean,se_ctx_mean,snr_ctx_proxy,season_ctx_mean,var_ctx,smape,smape_loss,log_path,mtime,tier,rand_init,seed,init_seed,identity,dedup_key
0.07035,0.24152,0.83874,0.34745,-0.3672,0.45244,2.99294,0.57105,0.94851,0.42104,0.42104,../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init11.txt,1755372723.8611314,low,1,2,11,../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init11.txt,"('low', 1, 2, 11, '../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init11.txt')"
0.03878,0.29837,0.67603,0.34179,-0.84771,0.61165,3.26483,0.54801,1.20245,0.51706,0.51706,../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init12.txt,1755372767.2291083,high,1,2,12,../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init12.txt,"('high', 1, 2, 12, '../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init12.txt')"
0.07035,0.23712,0.82373,0.34501,-0.3672,0.45244,2.99294,0.57105,0.94851,0.41,0.41,../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init12.txt,1755372781.3609881,low,1,2,12,../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init12.txt,"('low', 1, 2, 12, '../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init12.txt')"
0.03878,0.29863,0.67678,0.33651,-0.84771,0.61165,3.26483,0.54801,1.20245,0.51875,0.51875,../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init13.txt,1755372824.5326571,high,1,2,13,../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init13.txt,"('high', 1, 2, 13, '../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init13.txt')"
0.07035,0.24012,0.83374,0.34675,-0.3672,0.45244,2.99294,0.57105,0.94851,0.42247,0.42247,../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init13.txt,1755372833.8525925,low,1,2,13,../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init13.txt,"('low', 1, 2, 13, '../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init13.txt')"
0.03878,0.30124,0.68266,0.33733,-0.84771,0.61165,3.26483,0.54801,1.20245,0.52115,0.52115,../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init11.txt,1755372877.6803195,high,1,3,11,../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init11.txt,"('high', 1, 3, 11, '../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init11.txt')"
0.07035,0.23518,0.81644,0.3428,-0.3672,0.45244,2.99294,0.57105,0.94851,0.41354,0.41354,../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init11.txt,1755372891.5322433,low,1,3,11,../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init11.txt,"('low', 1, 3, 11, '../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init11.txt')"
0.03878,0.30094,0.68218,0.33654,-0.84771,0.61165,3.26483,0.54801,1.20245,0.52292,0.52292,../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init12.txt,1755372934.0640378,high,1,3,12,../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init12.txt,"('high', 1, 3, 12, '../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init12.txt')"
0.07035,0.23459,0.81404,0.34467,-0.3672,0.45244,2.99294,0.57105,0.94851,0.41303,0.41303,../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init12.txt,1755372943.899996,low,1,3,12,../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init12.txt,"('low', 1, 3, 12, '../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init12.txt')"
0.03878,0.29829,0.67612,0.33561,-0.84771,0.61165,3.26483,0.54801,1.20245,0.51724,0.51724,../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init13.txt,1755372987.6438353,high,1,3,13,../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init13.txt,"('high', 1, 3, 13, '../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init13.txt')"
0.07035,0.23682,0.82232,0.34871,-0.3672,0.45244,2.99294,0.57105,0.94851,0.41622,0.41622,../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init13.txt,1755372996.679807,low,1,3,13,../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init13.txt,"('low', 1, 3, 13, '../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init13.txt')"
0.03878,0.30302,0.68691,0.34004,-0.84771,0.61165,3.26483,0.54801,1.20245,0.5275,0.5275,../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed1_init11.txt,1755374743.7950518,high,0,1,11,../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed1_init11.txt,"('high', 0, 1, 11, '../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed1_init11.txt')"
0.03878,0.30289,0.68653,0.33732,-0.84771,0.61165,3.26483,0.54801,1.20245,0.52642,0.52642,../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed2_init11.txt,1755374789.683358,high,0,2,11,../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed2_init11.txt,"('high', 0, 2, 11, '../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed2_init11.txt')"
0.03878,0.29907,0.67785,0.33354,-0.84771,0.61165,3.26483,0.54801,1.20245,0.52586,0.52586,../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed3_init11.txt,1755374835.971546,high,0,3,11,../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed3_init11.txt,"('high', 0, 3, 11, '../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed3_init11.txt')"
0.07035,0.23245,0.80672,0.3396,-0.3672,0.45244,2.99294,0.57105,0.94851,0.41034,0.41034,../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed1_init11.txt,1755375738.458333,low,0,1,11,../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed1_init11.txt,"('low', 0, 1, 11, '../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed1_init11.txt')"
0.07035,0.24397,0.84683,0.34868,-0.3672,0.45244,2.99294,0.57105,0.94851,0.4243,0.4243,../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed2_init11.txt,1755375790.9814506,low,0,2,11,../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed2_init11.txt,"('low', 0, 2, 11, '../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed2_init11.txt')"
0.07309,0.3281,0.77863,0.28248,-0.6196,0.53666,3.67348,0.46994,1.40978,0.44216,0.44216,../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init11.txt,1755375806.8811967,medium,1,1,11,../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init11.txt,"('medium', 1, 1, 11, '../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init11.txt')"
0.07035,0.2359,0.81839,0.34717,-0.3672,0.45244,2.99294,0.57105,0.94851,0.41399,0.41399,../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed3_init11.txt,1755375846.5365891,low,0,3,11,../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed3_init11.txt,"('low', 0, 3, 11, '../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed3_init11.txt')"
0.07309,0.32589,0.77396,0.28328,-0.6196,0.53666,3.67348,0.46994,1.40978,0.44533,0.44533,../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init12.txt,1755375870.2002428,medium,1,1,12,../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init12.txt,"('medium', 1, 1, 12, '../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init12.txt')"
0.07309,0.32526,0.77205,0.27402,-0.6196,0.53666,3.67348,0.46994,1.40978,0.44159,0.44159,../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init13.txt,1755375924.891486,medium,1,1,13,../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init13.txt,"('medium', 1, 1, 13, '../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init13.txt')"
0.07309,0.34573,0.82005,0.30971,-0.6196,0.53666,3.67348,0.46994,1.40978,0.45645,0.45645,../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init11.txt,1755375981.726758,medium,1,2,11,../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init11.txt,"('medium', 1, 2, 11, '../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init11.txt')"
0.07309,0.34567,0.82077,0.29521,-0.6196,0.53666,3.67348,0.46994,1.40978,0.47122,0.47122,../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init12.txt,1755376038.1460884,medium,1,2,12,../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init12.txt,"('medium', 1, 2, 12, '../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init12.txt')"
0.07309,0.33323,0.79066,0.29715,-0.6196,0.53666,3.67348,0.46994,1.40978,0.44123,0.44123,../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init13.txt,1755376091.7934954,medium,1,2,13,../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init13.txt,"('medium', 1, 2, 13, '../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init13.txt')"
0.07309,0.33514,0.79523,0.29656,-0.6196,0.53666,3.67348,0.46994,1.40978,0.45389,0.45389,../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init11.txt,1755376148.1129146,medium,1,3,11,../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init11.txt,"('medium', 1, 3, 11, '../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init11.txt')"
0.07309,0.32697,0.77603,0.286,-0.6196,0.53666,3.67348,0.46994,1.40978,0.43717,0.43717,../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init12.txt,1755376201.0164034,medium,1,3,12,../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init12.txt,"('medium', 1, 3, 12, '../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init12.txt')"
0.07309,0.33639,0.79856,0.2914,-0.6196,0.53666,3.67348,0.46994,1.40978,0.44587,0.44587,../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init13.txt,1755376257.9278872,medium,1,3,13,../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init13.txt,"('medium', 1, 3, 13, '../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init13.txt')"
