domain,pair_key,baseline_smape,dlinear_smape,rel_gain_pct,k_models
Fitbit,hr__medium,0.639,0.5587466666666666,12.498093202520748,3
Fitbit,hr__low,0.726,0.8553466666666667,-17.83510078126912,3
Fitbit,hr__high,0.777,0.6673533333333334,14.120177626445868,3
PEMS,low,0.417,0.3934066666666667,5.689955366457633,3
PEMS,medium,0.445,0.36072333333333334,18.98752813530901,3
PEMS,high,0.525,0.5233233333333334,0.39377988508056583,3
