domain,x_metric,n,pearson_r,r_95ci_low,r_95ci_high,spearman_rho,kendall_tau_b,distance_corr,isotonic_R2,theilsen_slope,q25q75_delta_mean,q25q75_cohens_d,Q,df,I2,Q_pvalue,neg_slope_domains,K_domains,sign_test_p(one-sided)
CarbonCast,Omega,54,-0.72032811711126,-0.8283250915167012,-0.5607158975108094,-0.9109563056742513,-0.7868555761998975,0.647555045892343,0.5508269017149141,-0.7757995881949211,-0.35274944444444467,-2.1332004372354256,,,,,,,
PEMS,Omega,54,-0.8403639223402192,-0.904579365817764,-0.7388586048788723,-0.8352858138291058,-0.6986734857637021,0.8018682446098726,0.821228370867231,-0.6853685350077894,-0.11062611111111098,-13.409965529198514,,,,,,,
Fitbit,Omega,54,-0.6311515353907002,-0.768959814687314,-0.43729227639360735,-0.6344679700862198,-0.5053512105766583,0.4163489874699908,0.40945434072702624,-1.0607664565321144,-0.13568111111111103,-2.0574470974943417,,,,,,,
Synthetic,Omega,126,-0.6907481835971578,-0.7723431957971537,-0.5867277356925973,-0.6795971456456505,-0.5191300428778901,0.5260658149390011,0.5714373032893978,-0.7042274567337734,-0.22976972222222214,-2.237228310194151,,,,,,,
META_Pearson_weighted,Omega,288,-0.7209439046987407,-0.7729374140228046,-0.6593324098306121,,,,,,,,6.846411634982801,3.0,0.5618142524952728,0.07695765718299691,,,
META_Pearson_macro,Omega,4,-0.7309958442188874,-0.9571563037235521,0.049079863869436274,,,,,,,,0.12731616631626957,3.0,0.0,0.9883690074936865,,,
META_Spearman_weighted,Omega,288,,,,-0.7672320179186948,,,,,,,23.43517775000827,3.0,0.8719873161619633,3.276870125812093e-05,,,
META_Spearman_macro,Omega,4,,,,-0.7928012453144623,,,,,,,0.39400183026981067,3.0,0.0,0.9414787702387287,,,
MEANS/OTHER,Omega,4,,,,,-0.6275025788545371,0.5979595232278019,0.5882367291496422,-0.7400135224643473,-0.2072065972222222,-4.959460343530608,,,,,4.0,4.0,0.0625
