domain,x_metric,n,pearson_r,r_95ci_low,r_95ci_high,spearman_rho,kendall_tau_b,distance_corr,isotonic_R2,theilsen_slope,q25q75_delta_mean,q25q75_cohens_d,Q,df,I2,Q_pvalue,neg_slope_domains,K_domains,sign_test_p(one-sided)
CarbonCast,Omega,45,-0.7078110252665722,-0.8290881595945695,-0.5229230193576498,-0.9032245946736416,-0.7792376870949906,0.6076837197842648,0.5278449826226789,-0.7678517501715855,-0.3673266666666667,-2.0299165235400904,,,,,,,
PEMS,Omega,45,-0.8325183763937553,-0.9049158517387997,-0.7132937537147985,-0.8193986462120507,-0.6813742413059809,0.8031877091037134,0.8445149379654557,-0.6870535154781302,-0.11078666666666653,-14.55489306686102,,,,,,,
Fitbit,Omega,45,-0.7717090099338214,-0.8685064416430897,-0.6182148305475444,-0.7083292645004428,-0.5590449340697187,0.6896900982717764,0.658926435509074,-1.0527210884353753,-0.14641533333333334,-2.8164833243712155,,,,,,,
UniSynth,Omega,105,-0.6825353570006057,-0.7730690227725462,-0.5647497113952724,-0.6695995781623412,-0.5116925003132583,0.5123716307052101,0.5607712450938029,-0.6978634226129626,-0.23180066666666677,-2.202136756775221,,,,,,,
META_Pearson_weighted,Omega,240,-0.7373986465612481,-0.7911712915626871,-0.6723128527973244,,,,,,,,4.340608856379719,3.0,0.3088527210668442,0.22695590887567885,,,
META_Pearson_macro,Omega,4,-0.7549486953031095,-0.9614200498975116,-0.004381632928536608,,,,,,,,0.07949964991880056,3.0,0.0,0.994178534769809,,,
META_Spearman_weighted,Omega,240,,,,-0.7667195701153126,,,,,,,15.284493893984546,3.0,0.8037226472261082,0.0015889834927962695,,,
META_Spearman_macro,Omega,4,,,,-0.794887706100211,,,,,,,0.28456973592421264,3.0,0.0,0.9629038840522784,,,
MEANS/OTHER,Omega,4,,,,,-0.6328373406959872,0.6532332894662413,0.6480144002977528,-0.732857586392274,-0.21408233333333332,-5.400857417886887,,,,,4.0,4.0,0.0625
