model,base_key,se_mean,se_std,smape_mean,smape_std,n_seeds,n_runs_total,se_ci,smape_ci,domain
Language Pretrained,spectralUniTest_SWPP_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed11,0.45953,0.0,1.0131433333333333,0.011078846209481113,3,3,0.0,0.027521379672689247,CarbonCast
Random Init,spectralUniTest_CISO_solar_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed11,0.30375,0.0,0.7050866666666668,0.12374726273066948,3,3,0.0,0.30740524208669295,CarbonCast
Random Init,spectralUniTest_CISO_solar_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed12,0.30375,0.0,0.73016,0.0792983934263488,3,3,0.0,0.1969881295990158,CarbonCast
Random Init,spectralUniTest_CISO_solar_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed13,0.30375,0.0,0.7993366666666667,0.10279062035678808,3,3,0.0,0.2553460564521114,CarbonCast
Random Init,spectralUniTest_FR_wind_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed11,0.45675,0.0,1.10806,0.017272298631045138,3,3,0.0,0.04290676839960646,CarbonCast
Random Init,spectralUniTest_FR_wind_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed12,0.45675,0.0,1.12731,0.0319144653723041,3,3,0.0,0.07927992698467219,CarbonCast
Random Init,spectralUniTest_FR_wind_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed13,0.45675,0.0,1.1407933333333333,0.017969644774823254,3,3,0.0,0.04463907225357448,CarbonCast
Random Init,spectralUniTest_PJM_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed11,0.46377,0.0,0.8963199999999999,0.018580653917448668,3,3,0.0,0.046156903107051596,CarbonCast
Random Init,spectralUniTest_PJM_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed12,0.46377,0.0,0.88834,0.005260769905631687,3,3,0.0,0.013068476915912374,CarbonCast
Random Init,spectralUniTest_PJM_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed13,0.46377,0.0,0.8929300000000001,0.0073815513274649155,3,3,0.0,0.01833679002446591,CarbonCast
Random Init,spectralUniTest_PJM_oil_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed11,0.66366,0.0,1.0239033333333334,0.036500844282472834,3,3,0.0,0.09067312379622719,CarbonCast
Random Init,spectralUniTest_PJM_oil_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed12,0.66366,0.0,1.0495966666666667,0.04100692908928116,3,3,0.0,0.10186685899758592,CarbonCast
Random Init,spectralUniTest_PJM_oil_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed13,0.66366,0.0,1.087,0.03986842861212373,3,3,0.0,0.09903866702732704,CarbonCast
Random Init,spectralUniTest_SWPP_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed11,0.45953,0.0,0.9971566666666667,0.020858152682664298,3,3,0.0,0.051814523678401316,CarbonCast
Random Init,spectralUniTest_SWPP_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed12,0.45953,0.0,1.0022233333333335,0.016051496295776745,3,3,0.0,0.03987412727985932,CarbonCast
Random Init,spectralUniTest_SWPP_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed13,0.45953,0.0,1.0168433333333333,0.009244335202346,3,3,0.0,0.02296420169707245,CarbonCast
Language Pretrained,testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_h200_seq512_pred96_initseed11,0.68372,0.0,1.15157,0.013005798706730777,3,3,0.0,0.03230819504003863,uniSynthPSD_eval
Language Pretrained,testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_h300_seq512_pred96_initseed11,0.58736,0.0,1.19271,0.010060014910525715,3,3,0.0,0.024990462420947386,uniSynthPSD_eval
Language Pretrained,testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_h400_seq512_pred96_initseed11,0.53706,0.0,1.1029,0.023251608546507,3,3,0.0,0.057760197651406546,uniSynthPSD_eval
Language Pretrained,testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_h500_seq512_pred96_initseed11,0.47353,0.0,0.9661533333333333,0.01699379102299817,3,3,0.0,0.04221491714742158,uniSynthPSD_eval
Language Pretrained,testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_h600_seq512_pred96_initseed11,0.314,0.0,0.8666266666666665,0.041028263835231095,3,3,0.0,0.10191985744457277,uniSynthPSD_eval
Language Pretrained,testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_h700_seq512_pred96_initseed11,0.26986,0.0,1.0583033333333332,0.018263954482349385,3,3,0.0,0.045370178097001855,uniSynthPSD_eval
Language Pretrained,testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_h800_seq512_pred96_initseed11,0.27642,0.0,0.8602599999999999,0.013978454850232877,3,3,0.0,0.0347244068467687,uniSynthPSD_eval
Random Init,testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_h200_seq512_pred96_initseed11,0.68372,0.0,1.1621599999999999,0.0020663252406143513,3,3,0.0,0.005133036455144726,uniSynthPSD_eval
Random Init,testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_h200_seq512_pred96_initseed12,0.68372,0.0,1.16381,0.0017151967817134303,3,3,0.0,0.004260785008687369,uniSynthPSD_eval
Random Init,testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_h200_seq512_pred96_initseed13,0.68372,0.0,1.1647366666666665,0.011153799053835125,3,3,0.0,0.027707572859959,uniSynthPSD_eval
Random Init,testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_h300_seq512_pred96_initseed11,0.58736,0.0,1.2068833333333333,0.003869629611905143,3,3,0.0,0.009612692849800873,uniSynthPSD_eval
Random Init,testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_h300_seq512_pred96_initseed12,0.58736,0.0,1.20104,0.003759321747337096,3,3,0.0,0.00933867292351443,uniSynthPSD_eval
Random Init,testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_h300_seq512_pred96_initseed13,0.58736,0.0,1.2039600000000001,0.004117851381485283,3,3,0.0,0.010229309908515487,uniSynthPSD_eval
Random Init,testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_h400_seq512_pred96_initseed11,0.53706,0.0,1.1213833333333334,0.007271563334891201,3,3,0.0,0.018063564704263554,uniSynthPSD_eval
Random Init,testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_h400_seq512_pred96_initseed12,0.53706,0.0,1.1220233333333332,0.0072893369611601285,3,3,0.0,0.018107716839554415,uniSynthPSD_eval
Random Init,testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_h400_seq512_pred96_initseed13,0.53706,0.0,1.1195633333333335,0.006615333198965392,3,3,0.0,0.016433398675961903,uniSynthPSD_eval
Random Init,testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_h500_seq512_pred96_initseed11,0.47353,0.0,0.9932766666666667,0.00316654912062543,3,3,0.0,0.007866144086951302,uniSynthPSD_eval
Random Init,testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_h500_seq512_pred96_initseed12,0.47353,0.0,1.0009866666666667,0.004870157423875894,3,3,0.0,0.01209814171926593,uniSynthPSD_eval
Random Init,testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_h500_seq512_pred96_initseed13,0.47353,0.0,0.9999966666666666,0.011492538158880967,3,3,0.0,0.028549047445279578,uniSynthPSD_eval
Random Init,testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_h600_seq512_pred96_initseed11,0.314,0.0,0.9227833333333333,0.026476422215498393,3,3,0.0,0.06577107890021729,uniSynthPSD_eval
Random Init,testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_h600_seq512_pred96_initseed12,0.314,0.0,0.9235233333333334,0.0180104478937458,3,3,0.0,0.04474043282005083,uniSynthPSD_eval
Random Init,testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_h600_seq512_pred96_initseed13,0.314,0.0,0.91308,0.006497291743488221,3,3,0.0,0.016140167444850136,uniSynthPSD_eval
Random Init,testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_h700_seq512_pred96_initseed11,0.26986,0.0,1.0992300000000002,0.008293690372807664,3,3,0.0,0.020602669025446992,uniSynthPSD_eval
Random Init,testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_h700_seq512_pred96_initseed12,0.26986,0.0,1.0889833333333334,0.011981086483843254,3,3,0.0,0.029762668763376497,uniSynthPSD_eval
Random Init,testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_h700_seq512_pred96_initseed13,0.26986,0.0,1.0894433333333333,0.007575290973509396,3,3,0.0,0.018818065985484262,uniSynthPSD_eval
Random Init,testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_h800_seq512_pred96_initseed11,0.27642,0.0,0.8766566666666668,0.0179787383687881,3,3,0.0,0.04466166199327875,uniSynthPSD_eval
Random Init,testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_h800_seq512_pred96_initseed12,0.27642,0.0,0.86596,0.014804333824931157,3,3,0.0,0.036776003953235555,uniSynthPSD_eval
Random Init,testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_h800_seq512_pred96_initseed13,0.27642,0.0,0.87798,0.0166838874366857,3,3,0.0,0.041445073961627145,uniSynthPSD_eval
