x_metric,domain,n,pearson_r,r_95ci_low,r_95ci_high,ols_slope,ols_intercept
Omega,PEMS,45,-0.8325183763937553,-0.9049158517387997,-0.7132937537147985,-0.6841730762998302,0.7709421141324257
Omega,Fitbit,45,-0.7717090099338216,-0.8685064416430899,-0.6182148305475449,-1.194978538806019,1.3372201230724656
Omega,UniSynth,105,-0.6825353570006057,-0.7730690227725462,-0.5647497113952724,-0.6818197523546081,1.384889137054046
Omega,CarbonCast,75,-0.541440832624239,-0.6843102478344556,-0.35853849624005024,-0.9300680556061839,1.4239687197489443
Omega,MacroAvg(excl-AllDomains),270,-0.7236262335545693,,,,
