domain,metric_bin,omega,rel_gain_pct,ci_low,ci_high,nA,nB
CarbonCast,0.234,0.23431999999999994,-2.5282914925726456,,,1,1
CarbonCast,0.333,0.33265,-0.7929187275708083,,,1,1
CarbonCast,0.497,0.49678999999999995,0.7911925832279716,,,1,1
CarbonCast,0.503,0.5025199999999999,-0.5577444101505526,,,1,1
CarbonCast,0.513,0.51276,6.939708147968631,,,1,1
CarbonCast,0.534,0.53426,1.1896618933092127,,,1,1
CarbonCast,0.605,0.6054600000000001,-2.169409211851927,,,1,1
CarbonCast,0.697,0.6968999999999999,13.602595132445895,,,1,1
